"","CTRL.NORM.175","CTRL.NORM.176","CTRL.NORM.177","SICD248.NORM.187","SICD248.NORM.188","SICD248.NORM.189","CTRL.HYPO.202","CTRL.HYPO.203","CTRL.HYPO.204","SICD248.HYPO.208","SICD248.HYPO.209","SICD248.HYPO.210"
"23067466",5.85912770245622,5.68999004083041,5.53143958910088,5.99592141671518,5.42617631998818,5.71000104122862,5.63944753384933,5.07805972126864,5.88522492288969,5.4042450997761,5.40299035146825,5.78160105722127
"23067467",3.9007331368579,4.14015099215768,4.15518924464093,3.8023012354213,4.0050661273695,3.75432420609688,3.873039736675,4.38851844631037,3.79674545307144,4.17527883370503,4.06049425862694,3.77416311006416
"23067468",7.54779197804714,7.63678161201312,7.9779110807829,7.61838430746014,7.51942947328698,8.15889608849281,8.06245504756644,7.98789009428181,7.81101670604408,7.90373051821104,7.87711567726664,7.82217987390256
"23067825",5.95620651393333,5.92177392103446,6.0495324076422,5.84730571707429,6.13855609803023,6.28714357915361,6.19813371010753,6.25135028624656,6.04473881578403,5.96180731091349,5.72251412471157,5.63180779161905
"23067826",4.26395361383768,4.45673118593611,4.31476677254744,4.30810838121596,4.12917093265168,4.83151539670987,4.69138055674637,5.23638568305474,4.78271029638218,4.47266762766717,4.71566674739377,4.57953127789109
"23067829",3.6340111986084,3.66036590964844,3.52209078631566,3.78642070825845,3.69215327443639,3.51759800638052,3.92657697279109,3.97219006559051,3.89904016730136,3.89422225178522,3.98015768439513,4.07402381798729
"23067830",5.93207340301067,5.70458146866166,5.81315768502945,5.49013792499269,5.71535684918233,5.26639770495686,4.85447394756006,4.92738556020019,5.3901043839861,4.82656103470543,5.24173563625208,5.20412517391556
"23067837",7.77663235552008,7.61133931482583,7.5394951328159,7.86417688095304,8.41655374629914,8.43703272934793,6.1501829615731,5.45515461214799,6.15795497050295,6.85788538225086,6.82562907123024,6.52869963756922
"23067839",6.49958100402918,6.37503366770119,7.14725072079665,6.89459726794449,6.86490906034496,6.47601269359304,6.19333498408176,5.69484748229937,5.68556808431288,5.80981187843298,6.12507226766844,6.18612574084117
"23067840",5.47257532517842,5.72313851757131,5.43361258458461,5.49279175051239,5.33644455009433,5.79053027744016,5.78102173410081,6.02235950232227,5.50276778661837,5.6861158955342,5.67545579579639,5.35835220805288
"23067842",7.00586221538454,7.04037517013206,6.73639467022064,6.7876008250762,6.75254690135299,6.29980001994391,6.83686177594858,6.46854904426475,6.75568338028997,6.40573163581939,6.74296376668823,6.65508645191103
"23067843",4.83347607929099,4.58949243296964,4.43248322946494,4.88547952462029,4.90421210113527,5.11243472156054,4.69072936957664,5.17713116563213,5.22956103016016,5.038353090519,5.27500158514199,4.92934541990206
"23067844",4.69183434889707,4.09070741314544,4.56860667764188,4.73190847139065,4.12570945081894,4.73039732168693,4.60300431409388,4.6118624301135,4.30209453575227,4.4497688349032,4.91251838976864,4.76007989140443
"23068480",4.59198231014627,4.84507152758301,4.89381896159204,4.86640985168046,4.63535508277555,4.90445375028784,5.26775097810367,5.48141741190858,5.27700477042975,5.17683523302214,5.11614882824062,4.87877727489918
"23068483",4.3074573667351,4.45613559342206,4.3028722547556,4.30788264447208,4.21137915440562,4.6087132437277,4.624157573352,4.79295236849653,4.82921531299489,4.60265875680725,4.57581752597375,4.72269977837884
"23068489",7.812730331494,7.70957656984369,7.50780152776201,7.56065396597896,7.50410299185585,7.04598802362104,7.83136046517455,7.61472494865207,7.96000748209834,7.93732803642779,7.94365760289079,7.81747501178668
"23068494",6.26818196675853,6.32110622663221,6.3431475336966,6.19986531069054,6.49308448242887,5.83447569050071,5.35912966491749,5.51198657102879,5.81783160679391,5.72960816085937,5.77761541495302,6.09293209250956
"23068495",3.95357206331938,3.89964491800024,3.59924000897366,3.65579235070699,3.78870783852477,3.96180824953364,3.8292039315566,3.63033530563792,3.95206222853344,3.93568154537815,3.92403665952454,3.89114854346276
